29638,197607,491812,819899,1058448,1220445,1274614,1275632
47290,353971,889504,1594920,2051109,2356802,2441665,2443853
65641,513014,1297345,2283829,2955456,3390926,3528163,3532117
83226,608119,1615464,2926615,3798141,4395335,4573790,4577744
91298,699638,1891809,3465820,4557775,5308879,5519653,5523607
108113,785400,2133544,3916367,5214247,6097244,6342578,6346532
114872,857303,2337960,4301917,5775525,6742854,7021877,7025831
126612,935043,2509644,4632816,6283347,7357204,7679472,7683426
134655,979362,2638799,4862496,6650346,7825722,8178242,8182196
138411,1010939,2753554,5069351,6995512,8274566,8651655,8655609
146967,1051037,2843282,5226088,7255942,8609255,9003018,9006972
151332,1072805,2898316,5328723,7417340,8830465,9233943,9237897
158434,1087568,2918458,5381498,7458115,8902767,9308299,9312253
162964,1088978,2896246,5341435,7414008,8870682,9276214,9280168
158905,1064507,2854076,5246943,7277760,8713273,9111315,9115269
149345,1029077,2787252,5127266,7113679,8502487,8893237,8897191
140711,980492,2677615,4936677,6838763,8147006,8523536,8527490
128996,915753,2522491,4647965,6473129,7682413,8032001,8035955
121465,829970,2337966,4275900,5990519,7107224,7423513,7427467
111017,736138,2110529,3823801,5406795,6389559,6684866,6688820
92639,623272,1801019,3249746,4634491,5473860,5726601,5730555
74977,478345,1397234,2586368,3707672,4418030,4620727,4624681
51404,362052,1033364,1886315,2687393,3162642,3309836,3312772
24951,191325,578681,1050420,1477355,1716690,1791125,1792295
